# scenario=pilot_takeover repo=/home/qpworms/lfd tag=current run=20260919-090834 duration=35.0 alt=15.0 leader_front=4.5 target=3.0
# modes=0.9:GUIDED;18.0:LAND;18.0:LOITER
t_s,front_m,agl_m,in_fov,fol_vn_mps,fol_n,fol_e,fol_d,leader_n,leader_e,leader_d,fc_mode,heading_deg
0.0112,4.5000,14.9603,1,-0.0126,100.7439,-0.2567,-14.9603,105.2439,-0.2567,-14.9603,,3.0000
0.1120,4.4907,14.9603,1,-0.0125,100.7440,-0.2565,-14.9603,105.2439,-0.2567,-14.9603,,3.0000
0.2129,4.4904,14.9603,1,-0.0124,100.7443,-0.2565,-14.9603,105.2439,-0.2567,-14.9603,,3.0000
0.3133,4.4902,14.9603,1,-0.0125,100.7445,-0.2564,-14.9603,105.2439,-0.2567,-14.9603,,3.0000
0.4127,4.4900,14.9603,1,-0.0129,100.7447,-0.2567,-14.9603,105.2439,-0.2567,-14.9603,,3.0000
0.5138,4.4898,14.9603,1,-0.0133,100.7449,-0.2573,-14.9603,105.2439,-0.2567,-14.9603,,3.0000
0.6153,4.4898,14.9603,1,-0.0137,100.7450,-0.2580,-14.9603,105.2439,-0.2567,-14.9603,,3.0000
0.7106,4.4898,14.9603,1,-0.0141,100.7450,-0.2587,-14.9603,105.2439,-0.2567,-14.9603,,3.0000
0.8105,4.4898,14.9602,1,-0.0144,100.7451,-0.2596,-14.9602,105.2439,-0.2567,-14.9603,,3.0000
0.9104,4.4899,14.9602,1,-0.0147,100.7451,-0.2604,-14.9602,105.2439,-0.2567,-14.9603,GUIDED,3.0000
1.0149,4.4899,14.9602,1,-0.0150,100.7451,-0.2613,-14.9602,105.2439,-0.2567,-14.9603,GUIDED,3.0000
1.1090,4.4901,14.9602,1,-0.0153,100.7450,-0.2620,-14.9602,105.2439,-0.2567,-14.9603,GUIDED,3.0000
1.2143,4.4901,14.9602,1,-0.0152,100.7450,-0.2627,-14.9602,105.2439,-0.2567,-14.9603,GUIDED,3.0000
1.3137,4.4902,14.9602,1,-0.0151,100.7449,-0.2632,-14.9602,105.2439,-0.2567,-14.9603,GUIDED,3.0000
1.4139,4.4902,14.9602,1,-0.0148,100.7450,-0.2637,-14.9602,105.2439,-0.2567,-14.9603,GUIDED,3.0000
1.5144,4.4902,14.9602,1,-0.0147,100.7449,-0.2639,-14.9602,105.2439,-0.2567,-14.9603,GUIDED,3.0000
1.6138,4.4901,14.9602,1,-0.0144,100.7450,-0.2642,-14.9602,105.2439,-0.2567,-14.9603,GUIDED,3.0000
1.7137,4.4901,14.9601,1,-0.0143,100.7451,-0.2642,-14.9601,105.2439,-0.2567,-14.9603,GUIDED,3.0000
1.8135,4.4900,14.9602,1,-0.0141,100.7452,-0.2643,-14.9602,105.2439,-0.2567,-14.9603,GUIDED,3.0000
1.9138,4.4899,14.9602,1,-0.0141,100.7453,-0.2642,-14.9602,105.2439,-0.2567,-14.9603,GUIDED,3.0000
2.0142,4.4897,14.9602,1,-0.0140,100.7454,-0.2642,-14.9602,105.2439,-0.2567,-14.9603,GUIDED,3.0000
