# scenario=air_landing repo=/home/qpworms/lfd tag=current run=20260919-090834 duration=35.0 alt=15.0 leader_front=4.5 target=3.0
# modes=0.8:GUIDED
t_s,front_m,agl_m,in_fov,fol_vn_mps,fol_n,fol_e,fol_d,leader_n,leader_e,leader_d,fc_mode,heading_deg
0.0111,4.5000,14.9515,1,0.0089,100.7507,-0.2576,-14.9515,105.2507,-0.2576,-14.9515,,3.0000
0.1119,4.4925,14.9699,1,0.0087,100.7507,-0.2577,-14.9699,105.2507,-0.2576,-14.9515,,3.0000
0.2114,4.4926,14.9790,1,0.0085,100.7507,-0.2578,-14.9790,105.2507,-0.2576,-14.9215,,3.0000
0.3114,4.4927,14.9810,1,0.0084,100.7506,-0.2579,-14.9810,105.2507,-0.2576,-14.8915,,3.0000
0.4103,4.4927,14.9782,1,0.0084,100.7505,-0.2580,-14.9782,105.2507,-0.2576,-14.8615,,3.0000
0.5114,4.4928,14.9725,1,0.0084,100.7504,-0.2580,-14.9725,105.2507,-0.2576,-14.8315,,3.0000
0.6074,4.4929,14.9651,1,0.0085,100.7504,-0.2580,-14.9651,105.2507,-0.2576,-14.8015,,3.0000
0.7068,4.4930,14.9573,1,0.0085,100.7502,-0.2579,-14.9573,105.2507,-0.2576,-14.7715,,3.0000
0.8067,4.4931,14.9496,1,0.0087,100.7502,-0.2579,-14.9496,105.2507,-0.2576,-14.7415,GUIDED,3.0000
0.9111,4.4932,14.9429,1,0.0087,100.7500,-0.2578,-14.9429,105.2507,-0.2576,-14.7115,GUIDED,3.0000
1.0121,4.4933,14.9382,1,0.0083,100.7499,-0.2578,-14.9382,105.2507,-0.2576,-14.6815,GUIDED,3.0000
1.1073,4.4935,14.9352,1,0.0073,100.7497,-0.2576,-14.9352,105.2507,-0.2576,-14.6515,GUIDED,3.0000
1.2066,4.4938,14.9334,1,0.0062,100.7494,-0.2573,-14.9334,105.2507,-0.2576,-14.6215,GUIDED,3.0000
1.3069,4.4942,14.9324,1,0.0054,100.7489,-0.2568,-14.9324,105.2507,-0.2576,-14.5915,GUIDED,3.0000
1.4123,4.4946,14.9320,1,0.0049,100.7485,-0.2562,-14.9320,105.2507,-0.2576,-14.5615,GUIDED,3.0000
1.5132,4.4951,14.9320,1,0.0050,100.7479,-0.2553,-14.9320,105.2507,-0.2576,-14.5315,GUIDED,3.0000
1.6120,4.4955,14.9322,1,0.0053,100.7475,-0.2544,-14.9322,105.2507,-0.2576,-14.5015,GUIDED,3.0000
1.7124,4.4960,14.9324,1,0.0058,100.7469,-0.2534,-14.9324,105.2507,-0.2576,-14.4715,GUIDED,3.0000
1.8100,4.4964,14.9327,1,0.0064,100.7465,-0.2526,-14.9327,105.2507,-0.2576,-14.4415,GUIDED,3.0000
1.9117,4.4967,14.9329,1,0.0071,100.7461,-0.2517,-14.9329,105.2507,-0.2576,-14.4115,GUIDED,3.0000
2.0121,4.4969,14.9331,1,0.0078,100.7459,-0.2509,-14.9331,105.2507,-0.2576,-14.3815,GUIDED,3.0000
2.1121,4.4971,14.9333,1,0.0084,100.7456,-0.2501,-14.9333,105.2507,-0.2576,-14.3515,GUIDED,3.0000
2.2114,4.4973,14.9333,1,0.0089,100.7455,-0.2496,-14.9333,105.2507,-0.2576,-14.3215,GUIDED,3.0000
2.3113,4.4974,14.9333,1,0.0093,100.7453,-0.2490,-14.9333,105.2507,-0.2576,-14.2915,GUIDED,3.0000
2.4107,4.4975,14.9332,1,0.0096,100.7452,-0.2487,-14.9332,105.2507,-0.2576,-14.2615,GUIDED,3.0000
2.5120,4.4976,14.9330,1,0.0098,100.7450,-0.2485,-14.9330,105.2507,-0.2576,-14.2315,GUIDED,3.0000
2.6106,4.4977,14.9328,1,0.0100,100.7450,-0.2484,-14.9328,105.2507,-0.2576,-14.2015,GUIDED,3.0000
2.7109,4.4978,14.9326,1,0.0100,100.7448,-0.2484,-14.9326,105.2507,-0.2576,-14.1715,GUIDED,3.0000
2.8108,4.4979,14.9324,1,0.0100,100.7447,-0.2485,-14.9324,105.2507,-0.2576,-14.1415,GUIDED,3.0000
2.9124,4.4981,14.9321,1,0.0100,100.7446,-0.2486,-14.9321,105.2507,-0.2576,-14.1115,GUIDED,3.0000
3.0088,4.4982,14.9318,1,0.0100,100.7445,-0.2488,-14.9318,105.2507,-0.2576,-14.1115,GUIDED,3.0000
3.1084,4.4984,14.9315,1,0.0099,100.7443,-0.2490,-14.9315,105.2507,-0.2576,-14.0815,GUIDED,3.0000
3.2094,4.4987,14.9313,1,0.0097,100.7440,-0.2493,-14.9313,105.2507,-0.2576,-14.0515,GUIDED,3.0000
3.3106,4.4994,14.9310,1,0.0095,100.7434,-0.2495,-14.9310,105.2507,-0.2576,-14.0215,GUIDED,3.0000
3.4111,4.4999,14.9308,1,0.0093,100.7428,-0.2499,-14.9308,105.2507,-0.2576,-13.9915,GUIDED,3.0000
3.5109,4.5009,14.9304,1,0.0089,100.7419,-0.2500,-14.9304,105.2507,-0.2576,-13.9615,GUIDED,3.0000
3.6102,4.5017,14.9302,1,0.0087,100.7411,-0.2503,-14.9302,105.2507,-0.2576,-13.9315,GUIDED,3.0000
3.7101,4.5025,14.9300,1,0.0088,100.7404,-0.2506,-14.9300,105.2507,-0.2576,-13.9015,GUIDED,3.0000
3.8110,4.5032,14.9298,1,0.0091,100.7396,-0.2508,-14.9298,105.2507,-0.2576,-13.8715,GUIDED,3.0000
3.9125,4.5039,14.9297,1,0.0097,100.7390,-0.2510,-14.9297,105.2507,-0.2576,-13.8415,GUIDED,3.0000
4.0141,4.5044,14.9296,1,0.0107,100.7384,-0.2510,-14.9296,105.2507,-0.2576,-13.7815,GUIDED,3.0000
4.1130,4.5048,14.9296,1,0.0120,100.7380,-0.2510,-14.9296,105.2507,-0.2576,-13.7815,GUIDED,3.0000
