# scenario=boot_no_leader repo=/home/qpworms/lfd tag=current run=20260919-090834 duration=35.0 alt=15.0 leader_front=4.5 target=3.0
# modes=0.9:GUIDED
t_s,front_m,agl_m,in_fov,fol_vn_mps,fol_n,fol_e,fol_d,leader_n,leader_e,leader_d,fc_mode,heading_deg
0.0112,4.5000,14.9603,0,-0.0122,100.7444,-0.2523,-14.9603,105.2444,-0.2523,-14.9603,,3.0000
0.1109,4.4907,14.9603,0,-0.0127,100.7446,-0.2522,-14.9603,105.2444,-0.2523,-14.9603,,3.0000
0.2106,4.4905,14.9603,0,-0.0131,100.7448,-0.2523,-14.9603,105.2444,-0.2523,-14.9603,,3.0000
0.3118,4.4904,14.9603,0,-0.0135,100.7448,-0.2523,-14.9603,105.2444,-0.2523,-14.9603,,3.0000
0.4127,4.4903,14.9602,0,-0.0137,100.7450,-0.2524,-14.9602,105.2444,-0.2523,-14.9603,,3.0000
0.5127,4.4902,14.9602,0,-0.0139,100.7450,-0.2524,-14.9602,105.2444,-0.2523,-14.9603,,3.0000
0.6142,4.4902,14.9602,0,-0.0139,100.7451,-0.2525,-14.9602,105.2444,-0.2523,-14.9603,,3.0000
0.7159,4.4902,14.9602,0,-0.0141,100.7451,-0.2525,-14.9602,105.2444,-0.2523,-14.9603,,3.0000
0.8119,4.4902,14.9602,0,-0.0142,100.7451,-0.2527,-14.9602,105.2444,-0.2523,-14.9603,,3.0000
0.9110,4.4902,14.9602,0,-0.0144,100.7451,-0.2528,-14.9602,105.2444,-0.2523,-14.9603,GUIDED,3.0000
1.0120,4.4902,14.9602,0,-0.0145,100.7452,-0.2531,-14.9602,105.2444,-0.2523,-14.9603,GUIDED,3.0000
1.1167,4.4902,14.9602,0,-0.0148,100.7451,-0.2532,-14.9602,105.2444,-0.2523,-14.9603,GUIDED,3.0000
1.2164,4.4902,14.9602,0,-0.0151,100.7451,-0.2535,-14.9602,105.2444,-0.2523,-14.9603,GUIDED,3.0000
1.3159,4.4903,14.9602,0,-0.0153,100.7450,-0.2536,-14.9602,105.2444,-0.2523,-14.9603,GUIDED,3.0000
1.4164,4.4904,14.9602,0,-0.0153,100.7450,-0.2539,-14.9602,105.2444,-0.2523,-14.9603,GUIDED,3.0000
