# scenario=depth_loss repo=/home/qpworms/lfd tag=current run=20260919-090834 duration=35.0 alt=15.0 leader_front=4.5 target=3.0
# modes=0.9:GUIDED;18.2:LAND
t_s,front_m,agl_m,in_fov,fol_vn_mps,fol_n,fol_e,fol_d,leader_n,leader_e,leader_d,fc_mode,heading_deg
0.0120,4.5000,14.9444,1,0.0175,116.1163,-0.5367,-14.9444,120.6163,-0.5367,-14.9444,,1.0000
0.1114,4.4976,14.9443,1,0.0170,116.1168,-0.5365,-14.9443,120.6163,-0.5367,-14.9444,,1.0000
0.2130,4.4973,14.9443,1,0.0164,116.1170,-0.5361,-14.9443,120.6163,-0.5367,-14.9444,,1.0000
0.3097,4.4970,14.9443,1,0.0159,116.1173,-0.5360,-14.9443,120.6163,-0.5367,-14.9444,,1.0000
0.4144,4.4969,14.9442,1,0.0154,116.1174,-0.5358,-14.9442,120.6163,-0.5367,-14.9444,,1.0000
0.5135,4.4968,14.9442,1,0.0151,116.1176,-0.5358,-14.9442,120.6163,-0.5367,-14.9444,,1.0000
0.6127,4.4968,14.9441,1,0.0148,116.1176,-0.5357,-14.9441,120.6163,-0.5367,-14.9444,,1.0000
0.7126,4.4967,14.9440,1,0.0144,116.1176,-0.5358,-14.9440,120.6163,-0.5367,-14.9444,,1.0000
0.8130,4.4968,14.9440,1,0.0140,116.1175,-0.5358,-14.9440,120.6163,-0.5367,-14.9444,,1.0000
0.9128,4.4969,14.9439,1,0.0140,116.1175,-0.5361,-14.9439,120.6163,-0.5367,-14.9444,GUIDED,1.0000
1.0118,4.4970,14.9439,1,0.0141,116.1174,-0.5362,-14.9439,120.6163,-0.5367,-14.9444,GUIDED,1.0000
1.1129,4.4970,14.9439,1,0.0145,116.1174,-0.5365,-14.9439,120.6163,-0.5367,-14.9444,GUIDED,1.0000
1.2127,4.4970,14.9439,1,0.0147,116.1173,-0.5367,-14.9439,120.6163,-0.5367,-14.9444,GUIDED,1.0000
1.3127,4.4970,14.9440,1,0.0149,116.1174,-0.5370,-14.9440,120.6163,-0.5367,-14.9444,GUIDED,1.0000
1.4123,4.4970,14.9440,1,0.0147,116.1174,-0.5371,-14.9440,120.6163,-0.5367,-14.9444,GUIDED,1.0000
1.5119,4.4970,14.9440,1,0.0143,116.1174,-0.5372,-14.9440,120.6163,-0.5367,-14.9444,GUIDED,1.0000
1.6127,4.4971,14.9440,1,0.0138,116.1173,-0.5372,-14.9440,120.6163,-0.5367,-14.9444,GUIDED,1.0000
1.7121,4.4972,14.9441,1,0.0134,116.1172,-0.5373,-14.9441,120.6163,-0.5367,-14.9444,GUIDED,1.0000
1.8114,4.4974,14.9442,1,0.0134,116.1170,-0.5372,-14.9442,120.6163,-0.5367,-14.9444,GUIDED,1.0000
1.9115,4.4975,14.9444,1,0.0136,116.1169,-0.5372,-14.9444,120.6163,-0.5367,-14.9444,GUIDED,1.0000
2.0122,4.4976,14.9446,1,0.0139,116.1168,-0.5372,-14.9446,120.6163,-0.5367,-14.9444,GUIDED,1.0000
2.1119,4.4976,14.9448,1,0.0144,116.1168,-0.5373,-14.9448,120.6163,-0.5367,-14.9444,GUIDED,1.0000
2.2123,4.4978,14.9450,1,0.0146,116.1166,-0.5370,-14.9450,120.6163,-0.5367,-14.9444,GUIDED,1.0000
2.3129,4.4978,14.9452,1,0.0148,116.1166,-0.5372,-14.9452,120.6163,-0.5367,-14.9444,GUIDED,1.0000
2.4130,4.4978,14.9454,1,0.0148,116.1166,-0.5376,-14.9454,120.6163,-0.5367,-14.9444,GUIDED,1.0000
2.5124,4.4978,14.9455,1,0.0148,116.1166,-0.5380,-14.9455,120.6163,-0.5367,-14.9444,GUIDED,1.0000
2.6141,4.4978,14.9456,1,0.0148,116.1166,-0.5385,-14.9456,120.6163,-0.5367,-14.9444,GUIDED,1.0000
2.7149,4.4979,14.9457,1,0.0148,116.1166,-0.5389,-14.9457,120.6163,-0.5367,-14.9444,GUIDED,1.0000
2.8111,4.4979,14.9458,1,0.0148,116.1166,-0.5394,-14.9458,120.6163,-0.5367,-14.9444,GUIDED,1.0000
2.9124,4.4979,14.9459,1,0.0148,116.1165,-0.5398,-14.9459,120.6163,-0.5367,-14.9444,GUIDED,1.0000
3.0138,4.4979,14.9460,1,0.0149,116.1165,-0.5402,-14.9460,120.6163,-0.5367,-14.9444,GUIDED,1.0000
3.1155,4.4979,14.9461,1,0.0150,116.1166,-0.5407,-14.9461,120.6163,-0.5367,-14.9444,GUIDED,1.0000
3.2146,4.4979,14.9461,1,0.0149,116.1166,-0.5410,-14.9461,120.6163,-0.5367,-14.9444,GUIDED,1.0000
3.3148,4.4979,14.9461,1,0.0150,116.1166,-0.5414,-14.9461,120.6163,-0.5367,-14.9444,GUIDED,1.0000
3.4156,4.4979,14.9461,1,0.0152,116.1166,-0.5415,-14.9461,120.6163,-0.5367,-14.9444,GUIDED,1.0000
3.5094,4.4979,14.9461,1,0.0153,116.1166,-0.5418,-14.9461,120.6163,-0.5367,-14.9444,GUIDED,1.0000
3.6149,4.4979,14.9460,1,0.0151,116.1166,-0.5418,-14.9460,120.6163,-0.5367,-14.9444,GUIDED,1.0000
3.7157,4.4979,14.9459,1,0.0149,116.1166,-0.5419,-14.9459,120.6163,-0.5367,-14.9444,GUIDED,1.0000
3.8153,4.4981,14.9457,1,0.0148,116.1164,-0.5418,-14.9457,120.6163,-0.5367,-14.9444,GUIDED,1.0000
3.9101,4.4981,14.9455,1,0.0148,116.1164,-0.5418,-14.9455,120.6163,-0.5367,-14.9444,GUIDED,1.0000
4.0148,4.4983,14.9453,1,0.0148,116.1163,-0.5417,-14.9453,120.6163,-0.5367,-14.9444,GUIDED,1.0000
4.1150,4.4983,14.9452,1,0.0148,116.1162,-0.5417,-14.9452,120.6163,-0.5367,-14.9444,GUIDED,1.0000
4.2148,4.4984,14.9450,1,0.0148,116.1161,-0.5415,-14.9450,120.6163,-0.5367,-14.9444,GUIDED,1.0000
4.3150,4.4985,14.9449,1,0.0148,116.1160,-0.5412,-14.9449,120.6163,-0.5367,-14.9444,GUIDED,1.0000
4.4153,4.4986,14.9448,1,0.0147,116.1159,-0.5410,-14.9448,120.6163,-0.5367,-14.9444,GUIDED,1.0000
4.5151,4.4986,14.9447,1,0.0145,116.1159,-0.5409,-14.9447,120.6163,-0.5367,-14.9444,GUIDED,1.0000
4.6147,4.4987,14.9446,1,0.0142,116.1158,-0.5407,-14.9446,120.6163,-0.5367,-14.9444,GUIDED,1.0000
4.7156,4.4988,14.9446,1,0.0142,116.1157,-0.5407,-14.9446,120.6163,-0.5367,-14.9444,GUIDED,1.0000
4.8153,4.4989,14.9445,1,0.0143,116.1155,-0.5405,-14.9445,120.6163,-0.5367,-14.9444,GUIDED,1.0000
4.9149,4.4990,14.9444,1,0.0147,116.1155,-0.5406,-14.9444,120.6163,-0.5367,-14.9444,GUIDED,1.0000
5.0147,4.4991,14.9444,1,0.0151,116.1154,-0.5405,-14.9444,120.6163,-0.5367,-14.9444,GUIDED,1.0000
5.1157,4.4991,14.9443,1,0.0155,116.1154,-0.5407,-14.9443,120.6163,-0.5367,-14.9444,GUIDED,1.0000
5.2155,4.4991,14.9443,1,0.0157,116.1153,-0.5407,-14.9443,120.6163,-0.5367,-14.9444,GUIDED,1.0000
5.3156,4.4991,14.9442,1,0.0160,116.1154,-0.5409,-14.9442,120.6163,-0.5367,-14.9444,GUIDED,1.0000
5.4149,4.4991,14.9442,1,0.0161,116.1154,-0.5413,-14.9442,120.6163,-0.5367,-14.9444,GUIDED,1.0000
5.5151,4.4990,14.9441,1,0.0162,116.1155,-0.5420,-14.9441,120.6163,-0.5367,-14.9444,GUIDED,1.0000
5.6143,4.4990,14.9440,1,0.0162,116.1155,-0.5428,-14.9440,120.6163,-0.5367,-14.9444,GUIDED,1.0000
