# scenario=depth_range repo=/home/qpworms/lfd tag=current run=20260919-090834 duration=35.0 alt=15.0 leader_front=4.5 target=3.0
# modes=0.9:GUIDED
t_s,front_m,agl_m,in_fov,fol_vn_mps,fol_n,fol_e,fol_d,leader_n,leader_e,leader_d,fc_mode,heading_deg
0.0119,4.5000,14.9369,1,0.0155,100.7361,-0.2412,-14.9369,105.2361,-0.2412,-14.9369,,3.0000
0.1075,4.4927,14.9369,1,0.0160,100.7358,-0.2412,-14.9369,105.2361,-0.2412,-14.9369,,3.0000
0.2083,4.5230,14.9368,1,0.0166,100.7355,-0.2412,-14.9368,105.2661,-0.2412,-14.9369,,3.0000
0.3100,4.5530,14.9368,1,0.0174,100.7354,-0.2413,-14.9368,105.2961,-0.2412,-14.9369,,3.0000
0.4110,4.5831,14.9367,1,0.0180,100.7352,-0.2414,-14.9367,105.3261,-0.2412,-14.9369,,3.0000
0.5099,4.6130,14.9367,1,0.0188,100.7353,-0.2416,-14.9367,105.3561,-0.2412,-14.9369,,3.0000
0.6093,4.6430,14.9366,1,0.0193,100.7353,-0.2417,-14.9366,105.3861,-0.2412,-14.9369,,3.0000
0.7086,4.6727,14.9366,1,0.0198,100.7355,-0.2420,-14.9366,105.4161,-0.2412,-14.9369,,3.0000
0.8087,4.7026,14.9366,1,0.0199,100.7356,-0.2422,-14.9366,105.4461,-0.2412,-14.9369,,3.0000
0.9084,4.7324,14.9365,1,0.0199,100.7358,-0.2425,-14.9365,105.4761,-0.2412,-14.9369,GUIDED,3.0000
1.0087,4.7623,14.9365,1,0.0195,100.7359,-0.2426,-14.9365,105.5061,-0.2412,-14.9369,GUIDED,3.0000
1.1085,4.7921,14.9365,1,0.0192,100.7360,-0.2429,-14.9365,105.5361,-0.2412,-14.9369,GUIDED,3.0000
1.2087,4.8220,14.9364,1,0.0189,100.7361,-0.2431,-14.9364,105.5661,-0.2412,-14.9369,GUIDED,3.0000
1.3079,4.8519,14.9364,1,0.0187,100.7362,-0.2434,-14.9364,105.5961,-0.2412,-14.9369,GUIDED,3.0000
1.4132,4.8818,14.9363,1,0.0183,100.7362,-0.2435,-14.9363,105.6261,-0.2412,-14.9369,GUIDED,3.0000
1.5126,4.9117,14.9363,1,0.0180,100.7362,-0.2437,-14.9363,105.6561,-0.2412,-14.9369,GUIDED,3.0000
1.6119,4.9418,14.9363,1,0.0176,100.7361,-0.2438,-14.9363,105.6861,-0.2412,-14.9369,GUIDED,3.0000
1.7130,4.9717,14.9363,1,0.0175,100.7362,-0.2439,-14.9363,105.7161,-0.2412,-14.9369,GUIDED,3.0000
1.8080,5.0017,14.9364,1,0.0175,100.7361,-0.2439,-14.9364,105.7461,-0.2412,-14.9369,GUIDED,3.0000
1.9084,5.0317,14.9364,1,0.0176,100.7361,-0.2440,-14.9364,105.7761,-0.2412,-14.9369,GUIDED,3.0000
2.0089,5.0617,14.9366,1,0.0177,100.7360,-0.2439,-14.9366,105.8061,-0.2412,-14.9369,GUIDED,3.0000
2.1086,5.0916,14.9367,1,0.0181,100.7361,-0.2440,-14.9367,105.8361,-0.2412,-14.9369,GUIDED,3.0000
2.2097,5.1216,14.9368,1,0.0182,100.7361,-0.2439,-14.9368,105.8661,-0.2412,-14.9369,GUIDED,3.0000
2.3094,5.1514,14.9369,1,0.0186,100.7362,-0.2439,-14.9369,105.8961,-0.2412,-14.9369,GUIDED,3.0000
2.4097,5.1812,14.9371,1,0.0252,100.7364,-0.2438,-14.9371,105.9261,-0.2412,-14.9369,GUIDED,3.0000
2.5104,5.2097,14.9373,1,0.0510,100.7384,-0.2442,-14.9373,105.9561,-0.2412,-14.9369,GUIDED,3.0000
2.6101,5.2350,14.9376,1,0.0961,100.7440,-0.2451,-14.9376,105.9861,-0.2412,-14.9369,GUIDED,3.0000
2.7097,5.2557,14.9382,1,0.1506,100.7545,-0.2470,-14.9382,106.0161,-0.2412,-14.9369,GUIDED,2.0000
2.8096,5.2412,14.9391,1,0.2054,100.7702,-0.2499,-14.9391,106.0161,-0.2412,-14.9369,GUIDED,2.0000
2.9111,5.2818,14.9402,1,0.2529,100.7909,-0.2538,-14.9402,106.0761,-0.2412,-14.9369,GUIDED,2.0000
3.0102,5.2587,14.9412,1,0.2900,100.8150,-0.2582,-14.9412,106.0761,-0.2412,-14.9369,GUIDED,1.0000
3.1098,5.2618,14.9417,1,0.3174,100.8428,-0.2636,-14.9417,106.1061,-0.2412,-14.9369,GUIDED,1.0000
3.2096,5.2631,14.9410,1,0.3362,100.8722,-0.2691,-14.9410,106.1361,-0.2412,-14.9369,GUIDED,1.0000
3.3094,5.2623,14.9390,1,0.3490,100.9034,-0.2750,-14.9390,106.1661,-0.2412,-14.9369,GUIDED,1.0000
