# scenario=handover repo=/home/qpworms/lfd tag=current run=20260919-090834 duration=35.0 alt=15.0 leader_front=4.5 target=3.0
# modes=0.8:GUIDED;4.2:LOITER;16.2:GUIDED
t_s,front_m,agl_m,in_fov,fol_vn_mps,fol_n,fol_e,fol_d,leader_n,leader_e,leader_d,fc_mode,heading_deg
0.0110,4.5000,14.9614,1,0.0176,116.1047,-0.5465,-14.9614,120.6047,-0.5465,-14.9614,,2.0000
0.1110,4.4964,14.9797,1,0.0174,116.1052,-0.5467,-14.9797,120.6047,-0.5465,-14.9614,,2.0000
0.2112,4.4959,14.9886,1,0.0172,116.1057,-0.5469,-14.9886,120.6047,-0.5465,-14.9614,,2.0000
0.3102,4.4955,14.9903,1,0.0170,116.1061,-0.5469,-14.9903,120.6047,-0.5465,-14.9614,,2.0000
0.4098,4.4950,14.9873,1,0.0167,116.1066,-0.5468,-14.9873,120.6047,-0.5465,-14.9614,,2.0000
0.5113,4.4948,14.9813,1,0.0164,116.1068,-0.5466,-14.9813,120.6047,-0.5465,-14.9614,,2.0000
0.6115,4.4945,14.9738,1,0.0160,116.1071,-0.5464,-14.9738,120.6047,-0.5465,-14.9614,,2.0000
0.7110,4.4943,14.9658,1,0.0156,116.1072,-0.5460,-14.9658,120.6047,-0.5465,-14.9614,,2.0000
0.8102,4.4942,14.9579,1,0.0152,116.1073,-0.5456,-14.9579,120.6047,-0.5465,-14.9614,GUIDED,2.0000
0.9097,4.4943,14.9512,1,0.0146,116.1073,-0.5452,-14.9512,120.6047,-0.5465,-14.9614,GUIDED,2.0000
1.0142,4.4943,14.9465,1,0.0134,116.1072,-0.5448,-14.9465,120.6047,-0.5465,-14.9614,GUIDED,2.0000
1.1083,4.4947,14.9435,1,0.0115,116.1068,-0.5442,-14.9435,120.6047,-0.5465,-14.9614,GUIDED,2.0000
1.2135,4.4951,14.9416,1,0.0093,116.1064,-0.5437,-14.9416,120.6047,-0.5465,-14.9614,GUIDED,2.0000
1.3128,4.4959,14.9406,1,0.0074,116.1056,-0.5429,-14.9406,120.6047,-0.5465,-14.9614,GUIDED,2.0000
1.4126,4.4967,14.9402,1,0.0063,116.1047,-0.5423,-14.9402,120.6047,-0.5465,-14.9614,GUIDED,2.0000
1.5076,4.4977,14.9402,1,0.0060,116.1037,-0.5415,-14.9402,120.6047,-0.5465,-14.9614,GUIDED,2.0000
1.6084,4.4986,14.9404,1,0.0063,116.1028,-0.5407,-14.9404,120.6047,-0.5465,-14.9614,GUIDED,2.0000
1.7089,4.4995,14.9406,1,0.0070,116.1019,-0.5397,-14.9406,120.6047,-0.5465,-14.9614,GUIDED,2.0000
1.8137,4.5002,14.9409,1,0.0080,116.1011,-0.5387,-14.9409,120.6047,-0.5465,-14.9614,GUIDED,2.0000
1.9134,4.5009,14.9412,1,0.0092,116.1004,-0.5375,-14.9412,120.6047,-0.5465,-14.9614,GUIDED,2.0000
2.0130,4.5014,14.9414,1,0.0105,116.0999,-0.5364,-14.9414,120.6047,-0.5465,-14.9614,GUIDED,2.0000
2.1121,4.5018,14.9415,1,0.0116,116.0994,-0.5352,-14.9415,120.6047,-0.5465,-14.9614,GUIDED,2.0000
2.2120,4.5020,14.9415,1,0.0126,116.0991,-0.5341,-14.9415,120.6047,-0.5465,-14.9614,GUIDED,2.0000
2.3112,4.5023,14.9415,1,0.0134,116.0988,-0.5327,-14.9415,120.6047,-0.5465,-14.9614,GUIDED,2.0000
2.4120,4.5024,14.9414,1,0.0142,116.0987,-0.5316,-14.9414,120.6047,-0.5465,-14.9614,GUIDED,2.0000
2.5114,4.5025,14.9412,1,0.0147,116.0985,-0.5305,-14.9412,120.6047,-0.5465,-14.9614,GUIDED,2.0000
2.6115,4.5028,14.9409,1,0.0151,116.0981,-0.5290,-14.9409,120.6047,-0.5465,-14.9614,GUIDED,2.0000
2.7126,4.5027,14.9407,1,0.0157,116.0982,-0.5282,-14.9407,120.6047,-0.5465,-14.9614,GUIDED,2.0000
2.8131,4.5029,14.9405,1,0.0163,116.0980,-0.5273,-14.9405,120.6047,-0.5465,-14.9614,GUIDED,2.0000
2.9139,4.5031,14.9403,1,0.0166,116.0977,-0.5264,-14.9403,120.6047,-0.5465,-14.9614,GUIDED,2.0000
3.0145,4.5034,14.9400,1,0.0167,116.0974,-0.5256,-14.9400,120.6047,-0.5465,-14.9614,GUIDED,2.0000
3.1144,4.5038,14.9398,1,0.0168,116.0970,-0.5249,-14.9398,120.6047,-0.5465,-14.9614,GUIDED,2.0000
3.2091,4.5043,14.9396,1,0.0169,116.0965,-0.5243,-14.9396,120.6047,-0.5465,-14.9614,GUIDED,2.0000
3.3148,4.5047,14.9393,1,0.0171,116.0961,-0.5239,-14.9393,120.6047,-0.5465,-14.9614,GUIDED,2.0000
3.4147,4.5050,14.9391,1,0.0173,116.0958,-0.5238,-14.9391,120.6047,-0.5465,-14.9614,GUIDED,2.0000
