# scenario=hold_heading repo=/home/qpworms/lfd tag=current run=20260919-090834 duration=35.0 alt=15.0 leader_front=4.5 target=3.0
# modes=0.9:GUIDED
t_s,front_m,agl_m,in_fov,fol_vn_mps,fol_n,fol_e,fol_d,leader_n,leader_e,leader_d,fc_mode,heading_deg
0.0110,4.5000,14.9452,1,0.0178,116.1165,-0.5405,-14.9452,120.6165,-0.5405,-14.9452,,1.0000
0.1116,4.4976,14.9454,1,0.0176,116.1170,-0.5405,-14.9454,120.6165,-0.5405,-14.9452,,1.0000
0.2118,4.4972,14.9455,1,0.0173,116.1173,-0.5404,-14.9455,120.6165,-0.5405,-14.9452,,1.0000
0.3071,4.4968,14.9456,1,0.0170,116.1177,-0.5405,-14.9456,120.6165,-0.5405,-14.9452,,1.0000
0.4134,4.4966,14.9457,1,0.0165,116.1179,-0.5404,-14.9457,120.6165,-0.5405,-14.9452,,1.0000
0.5135,4.4965,14.9458,1,0.0160,116.1181,-0.5404,-14.9458,120.6165,-0.5405,-14.9452,,1.0000
0.6133,4.4964,14.9459,1,0.0154,116.1182,-0.5404,-14.9459,120.6165,-0.5405,-14.9452,,1.0000
0.7081,4.4963,14.9460,1,0.0150,116.1183,-0.5407,-14.9460,120.6165,-0.5405,-14.9452,,1.0000
0.8144,4.4964,14.9461,1,0.0146,116.1182,-0.5410,-14.9461,120.6165,-0.5405,-14.9452,,1.0000
0.9142,4.4964,14.9461,1,0.0143,116.1182,-0.5415,-14.9461,120.6165,-0.5405,-14.9452,GUIDED,1.0000
1.0133,4.4965,14.9462,1,0.0139,116.1181,-0.5421,-14.9462,120.6165,-0.5405,-14.9452,GUIDED,1.0000
1.1128,4.4966,14.9462,1,0.0137,116.1180,-0.5429,-14.9462,120.6165,-0.5405,-14.9452,GUIDED,1.0000
1.2136,4.4968,14.9463,1,0.0135,116.1178,-0.5435,-14.9463,120.6165,-0.5405,-14.9452,GUIDED,1.0000
1.3095,4.4970,14.9463,1,0.0134,116.1177,-0.5443,-14.9463,120.6165,-0.5405,-14.9452,GUIDED,1.0000
1.4142,4.4972,14.9463,1,0.0134,116.1176,-0.5449,-14.9463,120.6165,-0.5405,-14.9452,GUIDED,1.0000
1.5142,4.4973,14.9463,1,0.0135,116.1175,-0.5456,-14.9463,120.6165,-0.5405,-14.9452,GUIDED,1.0000
1.6135,4.4974,14.9464,1,0.0136,116.1173,-0.5463,-14.9464,120.6165,-0.5405,-14.9452,GUIDED,1.0000
1.7128,4.4975,14.9463,1,0.0137,116.1172,-0.5469,-14.9463,120.6165,-0.5405,-14.9452,GUIDED,1.0000
1.8136,4.4977,14.9462,1,0.0138,116.1171,-0.5474,-14.9462,120.6165,-0.5405,-14.9452,GUIDED,1.0000
1.9136,4.4977,14.9461,1,0.0139,116.1171,-0.5478,-14.9461,120.6165,-0.5405,-14.9452,GUIDED,1.0000
2.0136,4.4979,14.9459,1,0.0140,116.1169,-0.5480,-14.9459,120.6165,-0.5405,-14.9452,GUIDED,1.0000
2.1129,4.4979,14.9457,1,0.0140,116.1169,-0.5481,-14.9457,120.6165,-0.5405,-14.9452,GUIDED,1.0000
2.2144,4.4980,14.9454,1,0.0140,116.1168,-0.5481,-14.9454,120.6165,-0.5405,-14.9452,GUIDED,1.0000
2.3133,4.4981,14.9452,1,0.0139,116.1167,-0.5480,-14.9452,120.6165,-0.5405,-14.9452,GUIDED,1.0000
2.4085,4.4982,14.9451,1,0.0139,116.1166,-0.5477,-14.9451,120.6165,-0.5405,-14.9452,GUIDED,1.0000
