# scenario=hover_hold repo=/home/qpworms/lfd tag=current run=20260919-090834 duration=35.0 alt=15.0 leader_front=4.5 target=3.0
# modes=0.9:GUIDED
t_s,front_m,agl_m,in_fov,fol_vn_mps,fol_n,fol_e,fol_d,leader_n,leader_e,leader_d,fc_mode,heading_deg
0.0117,4.5000,14.9413,1,0.0146,112.2176,-0.4519,-14.9413,116.7176,-0.4519,-14.9413,,3.0000
0.1125,4.4933,14.9413,1,0.0157,112.2177,-0.4521,-14.9413,116.7176,-0.4519,-14.9413,,3.0000
0.2117,4.5231,14.9412,1,0.0169,112.2178,-0.4521,-14.9412,116.7476,-0.4519,-14.9413,,3.0000
0.3126,4.5530,14.9413,1,0.0181,112.2179,-0.4522,-14.9413,116.7776,-0.4519,-14.9413,,3.0000
0.4126,4.5829,14.9413,1,0.0191,112.2179,-0.4522,-14.9413,116.8076,-0.4519,-14.9413,,3.0000
0.5117,4.6128,14.9413,1,0.0197,112.2180,-0.4523,-14.9413,116.8376,-0.4519,-14.9413,,3.0000
0.6134,4.6428,14.9412,1,0.0199,112.2179,-0.4522,-14.9412,116.8676,-0.4519,-14.9413,,3.0000
0.7134,4.6726,14.9412,1,0.0198,112.2181,-0.4523,-14.9412,116.8976,-0.4519,-14.9413,,3.0000
0.8132,4.7023,14.9413,1,0.0196,112.2183,-0.4523,-14.9413,116.9276,-0.4519,-14.9413,,3.0000
0.9125,4.7319,14.9413,1,0.0191,112.2187,-0.4524,-14.9413,116.9576,-0.4519,-14.9413,GUIDED,3.0000
1.0126,4.7616,14.9413,1,0.0186,112.2189,-0.4523,-14.9413,116.9876,-0.4519,-14.9413,GUIDED,3.0000
1.1134,4.7912,14.9413,1,0.0181,112.2193,-0.4524,-14.9413,117.0176,-0.4519,-14.9413,GUIDED,3.0000
1.2135,4.8210,14.9413,1,0.0175,112.2195,-0.4524,-14.9413,117.0476,-0.4519,-14.9413,GUIDED,3.0000
1.3132,4.8507,14.9413,1,0.0170,112.2197,-0.4525,-14.9413,117.0776,-0.4519,-14.9413,GUIDED,3.0000
1.4151,4.8805,14.9413,1,0.0164,112.2198,-0.4524,-14.9413,117.1076,-0.4519,-14.9413,GUIDED,3.0000
1.5140,4.9103,14.9413,1,0.0159,112.2200,-0.4524,-14.9413,117.1376,-0.4519,-14.9413,GUIDED,3.0000
1.6151,4.9403,14.9413,1,0.0157,112.2200,-0.4523,-14.9413,117.1676,-0.4519,-14.9413,GUIDED,3.0000
