# scenario=leader_sine repo=/home/qpworms/lfd tag=current run=20260919-090834 duration=35.0 alt=15.0 leader_front=4.5 target=3.0
# modes=0.8:GUIDED
# sine_w=1.15
# sine_mean=0.25
# sine_amp=0.05
# sine_t0=0.2007746696472168
# sine_settle=20.0
t_s,front_m,agl_m,in_fov,fol_vn_mps,fol_n,fol_e,fol_d,leader_n,leader_e,leader_d,fc_mode,heading_deg
0.0120,4.5000,14.9606,1,0.0056,116.0817,-0.5167,-14.9606,120.5817,-0.5167,-14.9606,,2.0000
0.1110,4.4946,14.9798,1,0.0056,116.0822,-0.5171,-14.9798,120.5817,-0.5167,-14.9606,,2.0000
0.2127,4.4940,14.9895,1,0.0055,116.0828,-0.5175,-14.9895,120.5817,-0.5167,-14.9606,,2.0000
0.3118,4.5189,14.9918,1,0.0054,116.0834,-0.5177,-14.9918,120.6073,-0.5167,-14.9606,,2.0000
0.4114,4.5444,14.9892,1,0.0051,116.0841,-0.5179,-14.9892,120.6334,-0.5167,-14.9606,,2.0000
0.5110,4.5705,14.9837,1,0.0046,116.0847,-0.5181,-14.9837,120.6601,-0.5167,-14.9606,,2.0000
0.6126,4.5971,14.9764,1,0.0041,116.0853,-0.5182,-14.9764,120.6873,-0.5167,-14.9606,,2.0000
0.7121,4.6242,14.9684,1,0.0035,116.0858,-0.5182,-14.9684,120.7150,-0.5167,-14.9606,,2.0000
0.8110,4.6520,14.9605,1,0.0030,116.0862,-0.5182,-14.9605,120.7432,-0.5167,-14.9606,GUIDED,2.0000
0.9106,4.6803,14.9533,1,0.0025,116.0865,-0.5181,-14.9533,120.7719,-0.5167,-14.9606,GUIDED,2.0000
1.0123,4.7091,14.9480,1,0.0018,116.0867,-0.5181,-14.9480,120.8009,-0.5167,-14.9606,GUIDED,2.0000
1.1118,4.7382,14.9446,1,0.0008,116.0869,-0.5180,-14.9446,120.8302,-0.5167,-14.9606,GUIDED,2.0000
1.2124,4.7678,14.9425,1,-0.0004,116.0869,-0.5178,-14.9425,120.8599,-0.5167,-14.9606,GUIDED,2.0000
1.3119,4.7978,14.9413,1,-0.0012,116.0868,-0.5177,-14.9413,120.8898,-0.5167,-14.9606,GUIDED,2.0000
