# scenario=leader_sine repo=/tmp/mars_before tag=mars_before run=20260919-091549 duration=35.0 alt=15.0 leader_front=4.5 target=3.0
# modes=0.9:GUIDED
# sine_w=1.15
# sine_mean=0.25
# sine_amp=0.05
# sine_t0=0.2009131908416748
# sine_settle=20.0
t_s,front_m,agl_m,in_fov,fol_vn_mps,fol_n,fol_e,fol_d,leader_n,leader_e,leader_d,fc_mode,heading_deg
0.0111,4.5000,14.9619,1,-0.0161,130.4875,-0.3934,-14.9619,134.9875,-0.3934,-14.9619,,357.0000
0.1110,4.4974,14.9620,1,-0.0158,130.4874,-0.3936,-14.9620,134.9875,-0.3934,-14.9619,,357.0000
0.2122,4.4976,14.9620,1,-0.0156,130.4872,-0.3937,-14.9620,134.9875,-0.3934,-14.9619,,357.0000
0.3074,4.5232,14.9621,1,-0.0154,130.4871,-0.3939,-14.9621,135.0131,-0.3934,-14.9619,,357.0000
0.4077,4.5494,14.9622,1,-0.0151,130.4870,-0.3941,-14.9622,135.0393,-0.3934,-14.9619,,357.0000
0.5076,4.5761,14.9623,1,-0.0146,130.4870,-0.3943,-14.9623,135.0660,-0.3934,-14.9619,,357.0000
0.6088,4.6032,14.9624,1,-0.0143,130.4871,-0.3944,-14.9624,135.0932,-0.3934,-14.9619,,357.0000
0.7084,4.6309,14.9624,1,-0.0140,130.4872,-0.3945,-14.9624,135.1209,-0.3934,-14.9619,,357.0000
0.8072,4.6589,14.9625,1,-0.0137,130.4873,-0.3946,-14.9625,135.1491,-0.3934,-14.9619,,357.0000
0.9076,4.6874,14.9625,1,-0.0136,130.4874,-0.3946,-14.9625,135.1777,-0.3934,-14.9619,GUIDED,357.0000
1.0122,4.7163,14.9626,1,-0.0137,130.4874,-0.3946,-14.9626,135.2067,-0.3934,-14.9619,GUIDED,357.0000
1.1131,4.7455,14.9626,1,-0.0138,130.4875,-0.3946,-14.9626,135.2361,-0.3934,-14.9619,GUIDED,357.0000
1.2120,4.7751,14.9625,1,-0.0138,130.4876,-0.3946,-14.9625,135.2657,-0.3934,-14.9619,GUIDED,357.0000
1.3121,4.8051,14.9624,1,-0.0137,130.4876,-0.3943,-14.9624,135.2957,-0.3934,-14.9619,GUIDED,357.0000
1.4120,4.8350,14.9623,1,-0.0137,130.4877,-0.3940,-14.9623,135.3258,-0.3934,-14.9619,GUIDED,357.0000
1.5112,4.8652,14.9622,1,-0.0136,130.4878,-0.3933,-14.9622,135.3560,-0.3934,-14.9619,GUIDED,357.0000
1.6115,4.8953,14.9620,1,-0.0135,130.4879,-0.3926,-14.9620,135.3862,-0.3934,-14.9619,GUIDED,357.0000
1.7123,4.9253,14.9619,1,-0.0133,130.4880,-0.3918,-14.9619,135.4162,-0.3934,-14.9619,GUIDED,357.0000
1.8125,4.9550,14.9617,1,-0.0132,130.4882,-0.3911,-14.9617,135.4461,-0.3934,-14.9619,GUIDED,357.0000
1.9124,4.9847,14.9616,1,-0.0131,130.4883,-0.3903,-14.9616,135.4759,-0.3934,-14.9619,GUIDED,357.0000
2.0118,5.0140,14.9614,1,-0.0132,130.4885,-0.3897,-14.9614,135.5055,-0.3934,-14.9619,GUIDED,357.0000
2.1124,5.0433,14.9613,1,-0.0135,130.4886,-0.3891,-14.9613,135.5348,-0.3934,-14.9619,GUIDED,357.0000
2.2118,5.0720,14.9612,1,-0.0140,130.4887,-0.3887,-14.9612,135.5637,-0.3934,-14.9619,GUIDED,357.0000
2.3118,5.1005,14.9611,1,-0.0145,130.4887,-0.3883,-14.9611,135.5922,-0.3934,-14.9619,GUIDED,357.0000
2.4129,5.1286,14.9610,1,-0.0151,130.4887,-0.3882,-14.9610,135.6203,-0.3934,-14.9619,GUIDED,357.0000
2.5086,5.1426,14.9610,1,-0.0158,130.4886,-0.3880,-14.9610,135.6342,-0.3934,-14.9619,GUIDED,357.0000
2.6132,5.1834,14.9610,1,-0.0161,130.4886,-0.3881,-14.9610,135.6749,-0.3934,-14.9619,GUIDED,357.0000
2.7078,5.1969,14.9609,1,-0.0163,130.4884,-0.3880,-14.9609,135.6882,-0.3934,-14.9619,GUIDED,357.0000
